state,x,y
Jammu&Kashmir,-181.0,186.0
Ladakh,-146.0,201.0
Himanchal Pradesh,-128.0,156.0
Uttarakhand,-97.0,129.0
Punjab,-173.0,137.0
Haryana,-148.0,115.0
Delhi,-134.0,107.0
Uttar Pradesh,-65.0,83.0
Rajsthan,-215.0,75.0
Gujrat,-273.0,21.0
Madhya Pradesh,-118.0,21.0
Maharastra,-195.0,-25.0
Goa,-214.0,-96.0
Bihar,58.0,60.0
Jharkhand,59.0,24.0
Chhattisgarh,-19.0,-3.0
Telangana,-95.0,-61.0
Karnataka,-172.0,-113.0
Sikkim,140.0,91.0
Arunanchal Pradesh,263.0,100.0
Kerala,-155.0,-172.0
Tamil Nadu,-108.0,-167.0
Andhra Pradesh,-99.0,-103.0
Odisha,55.0,-15.0
West Bengal,122.0,24.0
Meghalaya,194.0,62.0
Assam,241.0,72.0
Nagaland,284.0,72.0
Manipur,270.0,49.0
Tripura,218.0,33.0
Mizoram,249.0,29.0
